NodeID,Type,X,Y,ReleaseTime,DueTime,Weight
C0,Customer,0.5372669382055368,1.5841489534314306,22.9,60.76,2.65
C1,Customer,1.6244698277330887,0.7967202447488424,25.29,56.94,4.86
C2,Customer,0.9081738444962694,1.8769502109526628,50.37,140.26,3.49
C3,Customer,1.8138718892344876,1.246895780269862,38.11,95.55,1.87
C4,Customer,1.4553068035256296,1.4301366407763605,60.74,119.34,2.21
C5,Customer,1.289263516170729,1.2864394156841614,104.59,137.53,4.61
C6,Customer,0.5603791873471564,1.4453680461514933,179.34,247.54,3.13
C7,Customer,0.6883781284588089,1.3615762222885561,136.07,214.21,3.29
C8,Customer,1.3383716291185461,1.3569056605737058,149.3,224.29,3.1
C9,Customer,1.396417469989242,1.5482096954216331,174.64,232.97,1.55
C10,Customer,1.430203060675283,1.4289832203551909,176.89,234.05,4.16
C11,Customer,1.3069004028341888,1.506032314507025,203.07,262.82,3.61
C12,Customer,1.9958157946811521,0.9222287309299085,210.38,279.06,1.28
C13,Customer,1.4120822577936452,1.0584498167234861,182.74,221.28,2.11
C14,Customer,1.6559610745984084,0.5,191.77,259.02,2.12
C15,Customer,1.7318030489794314,1.5242235996674411,242.97,323.8,4.38
C16,Customer,1.0231286649287423,1.2117734760286794,253.11,307.32,1.18
C17,Customer,1.3838444422992058,1.6707426091365656,289.09,351.52,4.52
C18,Customer,1.4871859399743004,1.3819449033280435,295.77,335.84,2.56
C19,Customer,1.56876896462486,1.6537794726448947,255.49,326.64,2.19
C20,Customer,1.603387789663312,0.8293586023971099,315.46,349.09,3.42
C21,Customer,1.4462938704188335,1.3217615549169426,327.37,379.89,1.48
C22,Customer,1.473748606581539,1.5153703765917537,304.81,356.45,4.77
C23,Customer,1.6617971030065952,1.5610639559094133,395.92,456.55,1.56
C24,Customer,1.4397489529346397,1.4365308814542783,398.27,473.47,3.12
C25,Customer,0.8633885234024327,2.0,386.93,422.08,2.6
C26,Customer,1.5859708241433927,0.9236969025573045,388.0,467.82,1.27
C27,Customer,1.868043426968398,1.350905301587577,436.52,485.21,4.16
C28,Customer,1.605613673549247,1.5977383905418436,471.45,557.37,2.72
C29,Customer,0.7843458672393171,1.6308780970606602,511.55,572.76,1.66
C30,Customer,1.4691068962264047,1.58611453441881,511.03,564.15,1.03
C31,Customer,1.5872850258986158,1.765268439597444,486.08,567.75,3.12
C32,Customer,1.1029273813160718,2.0,486.32,526.52,4.89
C33,Customer,1.505590291048892,1.5836374156935498,488.15,524.2,1.84
C34,Customer,1.4482407874665795,1.8197294341009433,557.35,642.26,1.46
C35,Customer,1.839390880902147,0.7332361020487981,576.18,656.61,4.94
C36,Customer,1.4785395711991542,1.5895433851620555,563.13,613.89,3.17
C37,Customer,1.8465029998970184,1.9462600292385264,585.71,666.57,2.76
C38,Customer,1.527987828975385,0.9113682357105841,630.45,701.77,1.94
C39,Customer,1.4516767560407944,0.8332531291801467,634.98,725.96,1.6
C40,Customer,1.826211303604301,0.669183998037136,644.07,692.4,2.3
C41,Customer,1.610417104062603,0.5448335826860125,662.37,721.38,3.17
C42,Customer,0.8531772596118666,2.0,712.2,750.17,4.16
C43,Customer,0.6669029170619569,1.874633886138693,712.63,800.21,1.6
C44,Customer,0.7973056356669684,1.7781045795130002,711.81,777.73,2.5
C45,Customer,0.9279574663591075,1.5549462044077857,683.19,744.38,2.97
C46,Customer,1.6786810478170695,0.9910308233801647,746.61,813.34,3.37
C47,Customer,1.7326122134858832,0.7984541555490524,723.57,753.76,3.56
C48,Customer,0.6435461959347344,1.4840618594995305,735.36,767.24,4.89
C49,Customer,1.6962582487108204,0.7222963093822229,821.26,895.35,3.77
C50,Customer,0.6056686530917428,1.4240763670422139,828.27,875.27,1.84
C51,Customer,1.941853222193748,0.5120871893247632,844.14,874.49,4.75
C52,Customer,1.7361166413216726,0.8290477433563331,882.0,918.37,2.6
C53,Customer,1.1719466721549368,1.1734883194015813,903.96,955.24,1.44
C54,Customer,1.706038157442031,0.9217214884713482,917.97,952.66,3.0
C55,Customer,1.6641579050749222,0.8165025398646379,904.37,958.95,2.18
H0,Hub,1.0618101782710436,1.9260714596148742,0.0,9999.0,0.0
H1,Hub,1.5979909127171077,1.397987726295555,0.0,9999.0,0.0
H2,Hub,0.7340279606636548,0.7339917805043039,0.0,9999.0,0.0
H3,Hub,0.5871254182522991,1.7992642186624028,0.0,9999.0,0.0
H4,Hub,1.4016725176148133,1.5621088666940683,0.0,9999.0,0.0
H5,Hub,0.5308767414437037,1.9548647782429915,0.0,9999.0,0.0
H6,Hub,1.7486639612006325,0.8185086660174142,0.0,9999.0,0.0
